timestep,datetime,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale
183,30622.00,1.97676243,5.890410959,2.596550279,0.322775391,,5204.195443
184,30623.00,2.30541885,5.890410959,2.404407821,0.349482906,,5384.653474
185,30624.00,0,0,2.220812849,0.242312504,,5546.260958
186,30625.00,0.32865642,5.890410959,2.069773743,0.671462301,,5697.651414
187,30626.00,0.08004278,5.890410959,1.978868715,0.283484317,,5796.45579
188,30627.00,0,0,1.892463687,0.362448281,,5892.68913
189,30628.00,0,0,1.811162011,0.00556687,8.3,5987.662921
190,30629.00,0.25,3.424657534,1.723198324,0.117288753,,6098.819244
191,30630.00,0,0,1.633977654,0.149017728,,6215.593036
192,30631.00,0,0,1.547673184,0.027788125,,6338.249779
193,30632.00,0,0,1.47451676,0.122515406,,6448.601872
194,30633.00,2.25,3.424657534,1.399625698,0.152152881,,6568.204006
195,30634.00,0,0,1.324407821,0.28932996,,6697.469865
196,30635.00,0,0,1.286773743,0.45023032,7.8,6766.389116
197,30636.00,0,0,1.237902235,0.148044791,,6857.201907
198,30637.00,0,0,1.189382682,0.090888116,,6952.41945
199,30638.00,0,0,1.136639665,0,,7060.121153
200,30639.00,0,0,1.092469274,0,,7156.742757
201,30640.00,1.518924355,3.424657534,1.061698324,0.268622951,,7228.608271
202,30641.00,0,0,1.021324022,0.569346028,,7319.981109
203,30642.00,0,0,0.97873743,0.448679756,7.5,7427.25024
204,30643.00,0,0,0.986530726,0.555168822,,7417.535146
205,30644.00,9.14072805,3.424657534,1.103329609,0.264309397,,7168.551452
206,30645.00,65.50855099,3.424657534,13.89982123,0.16730783,,1870.346929
207,30646.00,43.1645491,3.424657534,29.69286034,0.230427613,,1200.273768
208,30647.00,60.93818699,3.424657534,39.92477933,0.270425752,,879.6343861
209,30648.00,18.53536522,3.424657534,18.13738827,0.539125179,,1890.025773
210,30649.00,0.780697375,3.424657534,7.946094972,0.294916062,8.8,3129.69696
211,30650.00,1.288515605,10.54794521,5.445502793,0.171511882,,3803.763298
212,30651.00,0.253909115,10.54794521,4.465659218,0.039573126,,4167.628825
213,30652.00,0,0,3.913793296,1.381065339,,4416.487525
214,30653.00,0,0,3.554824022,0.915012505,,4601.691033
215,30654.00,0,0,3.308354749,0.762184877,,4742.189602
216,30655.00,4.5,10.54794521,3.21073743,0.030796416,,4803.332969
217,30656.00,0.5,10.54794521,3.063620112,0.160939318,7.8,4893.988614
218,30657.00,2.888733285,1.369863014,2.975606145,0.179959867,,4957.09158
219,30658.00,78.52721271,1.369863014,29.42062291,0.084644903,,764.4245752
220,30659.00,18.69966281,1.369863014,26.40356145,0.126220465,7.1,1094.500525
221,30660.00,0.9847488,1.369863014,7.851343575,0,,3143.935742
222,30661.00,0,0,5.314248603,0,,3847.466623
223,30662.00,0.52384571,1.369863014,4.484011173,0,,4163.799744
224,30663.00,7.21966677,1.369863014,5.934921788,0.196770033,7.2,3670.427297
225,30664.00,22.67075772,2.465753425,9.018276536,0.166077786,,2929.576634
226,30665.00,2.296933545,2.465753425,10.71334358,0.072312486,,2628.688662
227,30666.00,3.55935534,2.465753425,6.624502793,0.0772792,,3464.757723
228,30667.00,0.49600682,2.465753425,5.105639665,0.045927754,,3913.075378
229,30668.00,1.822721255,2.465753425,4.114030726,0.069829122,,4320.919782
230,30669.00,14.37815332,2.465753425,6.211256983,0.05777382,,3592.046575
231,30670.00,21.78058138,2.465753425,8.44275419,0.129808386,6.7,3168.770107
232,30671.00,4.17655305,6.849315068,12.79880447,0.171137625,,2311.810278
233,30672.00,6.194651065,6.849315068,7.381307263,0.178986473,,3285.629085
234,30673.00,20.9815036,6.849315068,13.08288268,0.062326128,8.1,2298.908564
235,30674.00,37.28074155,6.849315068,28.86232123,0.119414796,,1226.704087
236,30675.00,18.88818671,6.849315068,12.59565084,0.154478603,,2460.486143
237,30676.00,5.95086135,6.849315068,10.09797486,0.160814479,,2722.249651
238,30677.00,24.62863591,6.849315068,12.82303911,0.130725063,7.4,2458.090399
239,30678.00,5.736521415,12.32876712,11.85395531,0.220159535,,2534.416743
240,30679.00,0.12006417,12.32876712,8.05497486,0.24131613,,3133.11972
241,30680.00,0.36798463,12.32876712,5.794541899,0.09568202,,3689.920884
242,30681.00,8.54475003,12.32876712,4.825206704,0.218409546,,4037.192036
243,30682.00,51.62869267,12.32876712,26.27665642,0.159138036,,1179.191121
244,30683.00,30.94563791,12.32876712,26.56862849,0.171516981,,1322.397378
245,30684.00,2.25,12.32876712,14.40346927,0.322618923,,2176.633344
246,30685.00,4.5,12.32876712,8.139293296,0,8.5,3112.447213
247,30686.00,29.75,14.38356164,19.27003073,0.225459864,,1712.664949
248,30687.00,8.5,14.38356164,10.38984637,0.083482987,,2737.589534
249,30688.00,7.25,14.38356164,10.35756704,0.211898903,,2731.966815
250,30689.00,2.25,14.38356164,6.98623743,0,,3375.816432
251,30690.00,14.25,14.38356164,5.983592179,0,,3696.024828
252,30691.00,29.97193851,14.38356164,14.3129162,0.175410781,9.3,2255.230824
253,30692.00,19.92473958,14.38356164,23.14161453,0.275861536,,1560.27622
254,30693.00,10.69132368,14.38356164,22.23402235,0.128634208,,1576.942096
255,30694.00,5.8316311,14.38356164,26.46482682,0.295559558,,1120.980886
256,30695.00,9.719385155,14.38356164,12.26234916,0.130996677,,2471.823404
257,30696.00,0,0,7.669081006,0.055510776,,3213.0552
258,30697.00,11.75,14.38356164,13.84056704,0.014249524,,2170.652168
259,30698.00,0,0,8.785030726,0,9.4,2983.446578
260,30699.00,0.25,5.16970701,6.245522346,0,,3564.673213
261,30700.00,0.25,6.7783692,4.788653631,0,,4033.258176
262,30701.00,0,0,3.95250838,0.040706847,,4394.625648
263,30702.00,17.5,2.850009619,3.41627933,0.051299996,,4675.25979
264,30703.00,0.5,1.428736879,3.192536313,0.098884185,,4807.760757
265,30704.00,1.5,4.273066618,4.254310056,0,,4216.00104
266,30705.00,4.25,3.0993084,3.223935754,0,,4777.10406
267,30706.00,0.5,45.27223786,2.847142458,0,8.6,5039.936379
268,30707.00,0.25,23.28767123,2.935759777,0.001176478,,4993.451435
269,30708.00,5,7.123287671,4.625446927,0,,4121.767271
270,30709.00,14,7.123287671,4.676631285,0.086836741,,4132.485433
271,30710.00,9.75,7.123287671,10.08208659,0.11213319,,2796.839912
272,30711.00,7.974481005,7.123287671,10.02089665,0.189632355,,2806.998106
273,30712.00,10.12519128,7.123287671,10.04694134,0.266396641,10,2799.622119
274,30713.00,39.24657193,9.589041096,23.22319274,0.216879961,,1468.85503
275,30714.00,14.39599005,9.589041096,16.34211453,0.389562527,,2013.910321
276,30715.00,7.47995528,9.589041096,15.66319274,0.475061057,,2107.018226
277,30716.00,39.51603512,9.589041096,23.5827905,0.272555619,,1540.231869
278,30717.00,27.52391871,9.589041096,19.6497905,0.282237844,,1781.119038
279,30718.00,32.90261631,9.589041096,24.20167877,0.590900686,10.4,1466.844508
280,30719.00,8.33570051,9.589041096,14.95792458,0.585377206,10.3,2140.265481
281,30720.00,11.09707808,42.46575342,10.17638547,0.682414221,,2762.015623
282,30721.00,0.133844945,42.46575342,6.997902235,1.023836222,,3367.784603
283,30722.00,0.65400377,42.46575342,5.454829609,0.487314964,,3804.154764
284,30723.00,0,0,4.426692737,0.501838505,,4181.387742
285,30724.00,0,0,3.78600838,0.201791015,,4476.603681
286,30725.00,0,0,3.301818436,0.982326257,,4739.523569
287,30726.00,0,0,2.916703911,0.70178656,8,4986.567141
288,30727.00,0,0,2.587952514,0.854603727,,5222.34752
289,30728.00,0,0,2.257768156,0.254788502,,5507.804419
290,30729.00,0.85395389,8.254135879,2.031963687,0.232682316,,5731.835562
291,30730.00,0,0,1.77227095,0.683156151,,6026.584058
292,30731.00,0,0,1.552600559,0.391892663,,6327.696356
293,30732.00,0,0,1.476075419,0.203680302,7.5,6457.028799
294,30733.00,21.75640386,4.794520548,3.887798883,0.290584919,,4356.404275
295,30734.00,6.72936507,4.794520548,6.278731844,0.43554036,,3527.203957
296,30735.00,0.8173984,4.794520548,4.471215084,0.471899279,,4146.554603
297,30736.00,0,0,3.520910615,0.775110988,,4610.368987
298,30737.00,0.32865642,4.794520548,2.948379888,0.366997355,,4957.984954
299,30738.00,0.1673504,4.794520548,2.528798883,0.193876678,,5270.844923
300,30739.00,0.90470602,4.794520548,2.227198324,0.198000991,,5537.09341
301,30740.00,0.25,4.794520548,1.9845,0.287033079,7.9,5782.416623
302,30741.00,1.15331966,23.28767123,1.782,0.537612535,,6019.566952
303,30742.00,3.79221884,23.28767123,1.766036313,0.424463333,,6061.700135
304,30743.00,6.14389024,23.28767123,2.251357542,0.572814375,,5508.239667
305,30744.00,2.75,23.28767123,1.864986034,0.841401954,,5925.917984
306,30745.00,1.75,23.28767123,2.019067039,0.676420658,,5761.117324
307,30746.00,0.25,23.28767123,1.889497207,1.870030813,,5890.359496
308,30747.00,0,0,1.761310056,0.807275332,7.7,6049.843835
309,30748.00,0,0,1.697882682,1.152506005,,6131.848564
310,30749.00,0,0,1.624449721,0.701411975,,6230.480583
311,30750.00,0,0,1.563837989,0.81744054,,6315.413647
312,30751.00,0.25,8.767123288,1.506921788,0.982672975,,6400.730791
313,30752.00,4.75,8.767123288,1.565472067,0.819189511,,6320.512622
314,30753.00,5.820949865,8.767123288,1.764628492,0.401565673,,6052.198529
315,30754.00,2,8.767123288,1.829086592,0.206186745,7.8,5963.78111
316,30755.00,3,5.642398227,1.782301676,0.316029463,,6028.994274
317,30756.00,0,0,1.714324022,0.141244902,,6105.428364
318,30757.00,0.08004278,6.028970874,1.603181564,0.609810086,,6258.348937
319,30758.00,0,0,1.526581006,0.33288309,,6370.10696
320,30759.00,0,0,1.474265363,0.335892099,,6451.7278
321,30760.00,0,0,1.431100559,0.367363009,,6518.998655
322,30761.00,0,0,1.393743017,0.476587262,7.3,6581.694796
323,30762.00,0,0,1.321818436,0.487740577,7.3,6695.428034
324,30763.00,0.52678826,2.123287671,1.169446927,0.95208497,,6985.446213
325,30764.00,20.00770709,2.123287671,2.360790503,0.383679427,7.5,5108.749639
326,30765.00,0.38096143,2.123287671,2.674432961,1.198493365,,4975.81151
327,30766.00,5.25,2.123287671,1.951215084,0.409465857,,5836.455283
328,30767.00,0.25,2.123287671,2.039782123,0.395275468,,5723.944521
329,30768.00,6.48386137,2.123287671,1.983444134,1.505209403,8.8,5799.796999
330,30769.00,0.25,7.397260274,1.992670391,1.668732759,,5779.645955
331,30770.00,0.511922855,7.397260274,1.884192737,1.704797263,,5901.281512
332,30771.00,0,0,1.778832402,1.923791487,,6026.376171
333,30772.00,0,0,1.676664804,0.871132,,6158.116979
334,30773.00,0,0,1.576131285,1.12327981,,6295.429295
335,30774.00,0,0,1.471851955,2.052321834,,6454.133295
336,30775.00,0,0,1.445203911,1.657652415,7.9,6496.069647
337,30776.00,0.08004278,4.931506849,1.402240223,0.426152281,,6566.403046
338,30777.00,0,0,1.33800838,1.995246793,,6672.446492
339,30778.00,0.32865642,4.931506849,1.285768156,1.437604869,,6768.041502
340,30779.00,0,0,1.242578212,0.566595163,,6848.743896
341,30780.00,0,0,1.19923743,0.922700844,,6932.755464
342,30781.00,0,0,1.165273743,2.858154154,,7004.546026
343,30782.00,0.25,4.931506849,1.147977654,1.670350679,7.1,7037.820515
344,30783.00,5.75,4.931506849,1.205019553,1.961844388,,6922.853136
345,30784.00,0,0,1.105189944,3.011248117,,7126.038688
346,30785.00,0.25,4.931506849,1.062452514,1.834734382,,7224.544497
347,30786.00,0.25,4.931506849,1.024843575,2.936147425,,7315.227873
348,30787.00,6,4.931506849,1.091840782,1.7670573,,7163.421363
349,30788.00,1.25,4.931506849,1.039726257,1.726366393,,7278.093429
350,30789.00,3.25,4.931506849,1.00352514,2.007132219,7.1,7373.943389
351,30790.00,3,4.520547945,1.07773743,1.898439218,,7186.14531
352,30791.00,0.25,4.520547945,0.980874302,2.113219267,,7421.395586
353,30792.00,0.25,4.520547945,0.961692737,2.623141281,,7470.833921
354,30793.00,0,0,0.912519553,3.727648628,,7601.017031
355,30794.00,0,0,0.887581006,3.115506857,,7674.822334
356,30795.00,0,0,0.862994413,4.031124906,,7743.774706
357,30796.00,0,0,0.830715084,4.605772062,6.6,7839.490224
358,30797.00,0,0,0.800321229,3.892154317,,7938.287116
359,30798.00,0,0,0.765251397,4.235632478,,8051.592316
360,30799.00,0,0,0.739634078,3.934000033,,8144.934373
361,30800.00,0,0,0.718918994,4.0905561,,8216.188163
362,30801.00,0,0,0.697248603,3.403549175,,8299.63343
363,30802.00,0,0,0.678092179,3.309686871,,8375.364463
364,30803.00,0,0,0.673089385,2.918081969,6.5,8389.292153
365,30804.00,0,0,0.613759777,3.909113565,,8644.413015
366,30805.00,1.36799209,0.769193305,0.614840782,2.640389765,,8642.326719
367,30806.00,0,0,0.610818436,2.668604887,,8657.963068
368,30807.00,0,0,0.600888268,3.716578175,,8701.579434
369,30808.00,0,0,0.589550279,1.242285374,,8755.301711
370,30809.00,0,0,0.569061453,3.140988803,,8850.756854
371,30810.00,0,0,0.60149162,2.879216543,6.6,8711.841672
372,30811.00,0,0,0.621377095,2.314617293,,8611.381658
373,30812.00,0,0,0.608430168,2.713701142,,8668.252052
374,30813.00,0,0,0.592994413,3.029272308,,8736.192055
375,30814.00,0,0,0.57972067,3.479645436,,8801.426029
376,30815.00,0,0,0.567351955,4.205944032,,8860.447453
377,30816.00,0,0,0.552569832,4.39366458,,8931.853882
378,30817.00,2.5,4.816885918,0.563782123,1.395411604,6.4,8885.577239
379,30818.00,5.25,1.780821918,0.599304469,1.032165723,,8715.022828
380,30819.00,11.75,1.780821918,0.784684358,0.464029092,,7995.530837
381,30820.00,0.25,1.780821918,0.626178771,1.637213674,,8570.426479
382,30821.00,0,0,0.567553073,2.752912142,,8851.141118
383,30822.00,4,1.780821918,0.574893855,2.553514688,,8827.799805
384,30823.00,0.25,1.780821918,0.545430168,3.107621675,,8962.39608
385,30824.00,26,1.780821918,1.735692737,0.669937239,6.6,5681.888656
386,30825.00,0.25,8.557687532,0.834259777,4.171886479,,7774.077713
387,30826.00,0,0,0.647044693,4.917979021,,8480.6187
388,30827.00,3.75,4.573728314,0.611748603,1.901233203,,8656.506989
389,30828.00,0,0,0.589449721,1.608300643,,8747.741743
390,30829.00,0.75,1.2933425,0.561670391,2.507570112,,8889.664204
391,30830.00,0.5,0.983874041,0.553022346,2.238447071,,8929.689031
392,30831.00,0,0,0.517776536,4.399709803,6.5,9109.061764
393,30832.00,0,0,0.49572905,4.486308042,,9238.399461
394,30833.00,4,1.232876712,0.493290503,2.661029863,,9277.411847
395,30834.00,8.58004278,1.232876712,0.693653631,1.814039741,,8316.279318
396,30835.00,1.5,1.232876712,0.587061453,2.413805264,,8752.441074
397,30836.00,12.25,1.232876712,1.151522346,2.27849072,,6921.669635
398,30837.00,0.5,1.232876712,0.784131285,3.648477477,,7977.498982
399,30838.00,12.48787525,1.232876712,0.772541899,0.94371385,6.5,8033.8772
